iter	Passed	Remaining
0	2	281
1	5	259
2	7	246
3	9	223
4	12	231
5	14	228
6	17	232
7	19	228
8	22	224
9	24	221
10	29	241
11	32	237
12	34	232
13	37	232
14	40	228
15	42	224
16	45	221
17	47	217
18	50	216
19	53	212
20	55	208
21	58	205
22	61	204
23	63	200
24	65	197
25	68	193
26	70	190
27	79	205
28	82	201
29	84	197
30	87	193
31	89	190
32	92	187
33	95	185
34	97	181
35	100	178
36	102	175
37	105	172
38	109	171
39	112	168
40	114	164
41	115	159
42	131	173
43	135	172
44	138	169
45	155	182
46	158	178
47	161	174
48	163	170
49	166	166
50	171	164
51	173	160
52	176	156
53	178	152
54	231	189
55	234	184
56	237	179
57	241	174
58	243	169
59	246	164
60	249	159
61	251	154
62	255	149
63	258	145
64	261	140
65	263	135
66	265	130
67	272	128
68	274	123
69	277	118
70	279	114
71	282	109
72	284	105
73	287	100
74	289	96
75	291	92
76	294	88
77	297	83
78	299	79
79	302	75
80	306	71
81	313	68
82	317	64
83	319	60
84	321	56
85	324	52
86	327	48
87	330	45
88	332	41
89	334	37
90	337	33
91	339	29
92	342	25
93	345	22
94	347	18
95	349	14
96	352	10
97	355	7
98	357	3
99	360	0
