iter	Passed	Remaining
0	730	729866
1	733	366198
2	736	244914
3	744	185302
4	748	148888
5	751	124494
6	757	107436
7	759	94153
8	761	83818
9	763	75544
10	764	68777
11	771	63487
12	774	58818
13	777	54779
14	780	51268
15	787	48447
16	789	45677
17	792	43218
18	796	41123
19	798	39143
20	801	37347
21	803	35710
22	805	34218
23	827	33670
24	830	32397
25	850	31871
26	853	30745
27	855	29699
28	867	29053
29	869	28127
30	877	27425
31	879	26607
32	882	25861
33	884	25137
34	886	24454
35	898	24066
36	904	23551
37	907	22964
38	910	22428
39	912	21897
40	914	21391
41	920	20999
42	923	20552
43	925	20111
44	927	19689
45	930	19287
46	932	18903
47	934	18533
48	936	18177
49	941	17897
50	944	17576
51	946	17259
52	948	16954
53	950	16656
54	958	16465
55	960	16190
56	962	15924
57	964	15667
58	974	15540
59	976	15298
60	978	15065
61	980	14832
62	982	14607
63	986	14430
64	988	14219
65	990	14016
66	992	13822
67	994	13628
68	996	13440
69	997	13256
70	1002	13117
71	1004	12947
72	1006	12783
73	1008	12619
74	1010	12458
75	1011	12302
76	1013	12150
77	1018	12043
78	1021	11903
79	1024	11782
80	1026	11643
81	1027	11508
82	1028	11366
83	1033	11272
84	1035	11147
85	1037	11030
86	1039	10910
87	1041	10792
88	1043	10676
89	1047	10592
90	1049	10482
91	1051	10376
92	1053	10274
93	1055	10171
94	1057	10069
95	1058	9970
96	1063	9897
97	1064	9801
98	1066	9708
99	1068	9620
100	1070	9532
101	1072	9444
102	1074	9357
103	1078	9295
104	1080	9213
105	1082	9130
106	1084	9049
107	1086	8971
108	1087	8893
109	1089	8816
110	1094	8768
111	1098	8706
112	1102	8653
113	1105	8589
114	1108	8531
115	1111	8468
116	1112	8398
117	1130	8447
118	1138	8426
119	1141	8373
120	1144	8310
121	1150	8277
122	1152	8218
123	1154	8155
124	1156	8092
125	1157	8031
126	1159	7970
127	1166	7949
128	1169	7895
129	1171	7837
130	1172	7779
131	1174	7723
132	1176	7667
133	1181	7633
134	1182	7579
135	1184	7526
136	1186	7474
137	1188	7421
138	1189	7370
139	1191	7319
140	1196	7289
141	1197	7236
142	1199	7187
143	1201	7140
144	1202	7093
145	1204	7046
146	1206	7000
147	1213	6984
148	1219	6963
149	1221	6921
150	1232	6928
151	1235	6892
152	1237	6851
153	1243	6831
154	1245	6790
155	1248	6755
156	1250	6716
157	1252	6676
158	1258	6654
159	1260	6616
160	1268	6612
161	1274	6592
162	1276	6556
163	1278	6519
164	1281	6483
165	1283	6447
166	1285	6412
167	1290	6389
168	1295	6368
169	1297	6334
170	1299	6300
171	1309	6301
172	1311	6269
173	1326	6298
174	1344	6338
175	1346	6304
176	1348	6271
177	1353	6250
178	1355	6218
179	1358	6186
180	1360	6154
181	1362	6122
182	1367	6104
183	1369	6073
184	1372	6044
185	1374	6013
186	1376	5983
187	1378	5954
188	1389	5963
189	1391	5934
190	1394	5904
191	1399	5887
192	1401	5859
193	1403	5830
194	1405	5802
195	1407	5774
196	1409	5746
197	1416	5735
198	1418	5708
199	1420	5681
200	1422	5655
201	1425	5631
202	1457	5722
203	1465	5719
204	1471	5704
205	1480	5707
206	1488	5701
207	1500	5714
208	1513	5727
209	1519	5717
210	1524	5701
211	1562	5808
212	1564	5782
213	1567	5755
214	1569	5729
215	1574	5713
216	1576	5688
217	1578	5663
218	1580	5637
219	1582	5611
220	1584	5586
221	1590	5573
222	1592	5548
223	1594	5525
224	1597	5500
225	1652	5660
226	1655	5637
227	1657	5612
228	1659	5587
229	1661	5563
230	1663	5539
231	1666	5515
232	1671	5500
233	1674	5480
234	1676	5456
235	1681	5442
236	1683	5418
237	1685	5395
238	1687	5372
239	1689	5350
240	1691	5327
241	1699	5324
242	1701	5301
243	1704	5279
244	1706	5257
245	1711	5245
246	1713	5223
247	1715	5202
248	1717	5180
249	1719	5159
250	1721	5138
251	1726	5124
252	1729	5106
253	1731	5086
254	1734	5068
255	1776	5161
256	1778	5140
257	1783	5128
258	1785	5108
259	1787	5088
260	1790	5068
261	1793	5051
262	1795	5031
263	1797	5011
264	1800	4992
265	1804	4980
266	1808	4963
267	1810	4944
268	1836	4991
269	1838	4971
270	1841	4953
271	1843	4933
272	1845	4914
273	1847	4895
274	1878	4953
275	1881	4934
276	1886	4924
277	1888	4905
278	1890	4886
279	1893	4867
280	1895	4849
281	1899	4837
282	1901	4818
283	1903	4800
284	1906	4781
285	1908	4764
286	1910	4745
287	1953	4828
288	1955	4810
289	1957	4792
290	1959	4774
291	1964	4763
292	1967	4746
293	1969	4729
294	1971	4711
295	1973	4694
296	1975	4677
297	1982	4669
298	1984	4652
299	1986	4634
300	1988	4617
301	1990	4600
302	2038	4689
303	2040	4672
304	2070	4718
305	2098	4759
306	2101	4742
307	2103	4725
308	2105	4708
309	2110	4696
310	2112	4679
311	2117	4669
312	2119	4652
313	2121	4635
314	2127	4625
315	2130	4612
316	2133	4596
317	2135	4579
318	2137	4562
319	2149	4568
320	2151	4551
321	2156	4540
322	2158	4524
323	2163	4514
324	2166	4498
325	2168	4482
326	2173	4474
327	2176	4458
